time,A,B,C
4/24/2015 2:30,637.59375,2027.82373,798.6052246
4/24/2015 2:45,644.8953857,2006.317993,771.3031006
4/24/2015 3:00,655.6779785,1971.202515,755.5928955
4/24/2015 3:15,678.4220581,1963.419189,770.288208
4/24/2015 3:30,682.7047729,1945.240479,721.9369507
4/24/2015 3:45,709.0429688,1930.355469,711.204895
4/24/2015 4:00,810.4811401,1959.581177,684.6438599
4/24/2015 4:15,831.9491577,1959.581177,683.7394409
4/24/2015 4:30,839.1533203,1969.034668,678.4302368
4/24/2015 4:45,890.2456055,1954.358521,684.8966675
4/24/2015 5:00,942.24823,1955.033569,670.9914551
4/24/2015 5:15,988.2525024,1959.182861,677.0302734
4/24/2015 5:30,1035.62085,1972.445557,677.831543
4/24/2015 5:45,1090.283936,2071.107666,674.5133667
4/24/2015 6:00,1093.812622,2250.879883,669.5614624
4/24/2015 6:15,1090.283936,2321.725098,674.5133667
4/24/2015 6:30,1086.63501,2432.040283,693.8752441
4/24/2015 6:45,1056.392578,2608.851563,707.6430664
4/24/2015 7:00,1026.937378,2916.27002,713.0484009
4/24/2015 7:15,1014.746094,3280.20874,719.7866821
4/24/2015 7:30,991.7962036,3405.29248,719.7866821
4/24/2015 7:45,971.7770996,3556.460205,730.2069702
4/24/2015 8:00,966.055481,3613.801758,811.9744263
4/24/2015 8:15,909.0422363,3680.478027,840.4083252
4/24/2015 8:30,909.0422363,3721.40332,858.8979492
4/24/2015 8:45,909.0422363,3782.927246,885.7524414
4/24/2015 9:00,937.9580688,3813.510254,925.0262451
4/24/2015 9:15,941.9762573,3813.510254,996.9440918
4/24/2015 9:30,941.9762573,3781.144287,1053.924561
4/24/2015 9:45,937.9580688,3767.159668,1074.110352
4/24/2015 10:00,905.7661743,3740.276855,1076.130371
4/24/2015 10:15,886.6386108,3697.475098,1081.541992
4/24/2015 10:30,862.3497925,3670.710693,1086.323486
4/24/2015 10:45,860.8799438,3658.710938,1209.984253
4/24/2015 11:00,855.8681641,3642.520264,1233.468506
4/24/2015 11:15,855.8681641,3596.505371,1233.468506
4/24/2015 11:30,853.465332,3543.748779,1233.468506
4/24/2015 11:45,853.7982788,3507.810547,1236.188232
4/24/2015 12:00,863.6768188,3449.31958,1236.188232
4/24/2015 12:15,863.6768188,3398.304199,1236.188232
4/24/2015 12:30,853.7982788,3398.304199,1256.031128
4/24/2015 12:45,833.9649048,3355.144775,1268.407837
4/24/2015 13:00,833.9649048,3355.144775,1270.372437
4/24/2015 13:15,833.9649048,3377.278809,1270.372437
4/24/2015 13:30,828.40802,3294.100586,1262.649048
4/24/2015 13:45,836.4075317,3271.541992,1262.649048
4/24/2015 14:00,837.1151123,3244.45752,1197.835327
4/24/2015 14:15,836.6706543,3202.428223,1196.492188
4/24/2015 14:30,836.6706543,3202.428223,1189.085571
4/24/2015 14:45,871.0541992,3177.539795,1192.458374
4/24/2015 15:00,894.3007202,3149.84082,1134.269897
4/24/2015 15:15,872.2809448,3124.960205,1134.269897
4/24/2015 15:30,872.2809448,3099.900879,1094.446655
4/24/2015 15:45,853.1605835,3093.297852,1084.787109
4/24/2015 16:00,854.3621826,3093.297852,1083.227539
4/24/2015 16:15,851.8268433,3086.695557,1078.445313
4/24/2015 16:30,849.4251099,3078.584717,1065.68396
4/24/2015 16:45,865.0064697,3056.605957,1062.985596
4/24/2015 17:00,865.0064697,3024.232422,1065.68396
4/24/2015 17:15,865.0064697,2987.80957,1054.073242
4/24/2015 17:30,882.3931885,3009.50708,1065.68396
4/24/2015 17:45,882.3931885,3013.847168,1081.885254
4/24/2015 18:00,867.2006836,3009.50708,1102.525024
